link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/shenzhen-nsq/144417175.html?s=sou_sou_soulb&t=0_0,淘宝主播 （服饰类）,深圳市乐承服饰有限公司,1.2-2.4万,深圳-南山区,1年经验,中技/中专,民营,服装/纺织/皮革
https://jobs.51job.com/guangzhou-thq/133142279.html?s=sou_sou_soulb&t=0_0,电商主播,广州华研文化传播有限公司,6-8千,广州-天河区,1年经验,中技/中专,民营,文字媒体/出版
https://jobs.51job.com/changshu/140869769.html?s=sou_sou_soulb&t=0_0,女装主播,苏州市长楷茂服装贸易有限公司,8千-1.5万,常熟,1年经验,高中,民营,服装/纺织/皮革
https://jobs.51job.com/shenzhen-ftq/137006578.html?s=sou_sou_soulb&t=0_0,品牌主播,紫红泥酒业有限公司,8千-1.5万,深圳-福田区,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/dongguan-ncq/130909463.html?s=sou_sou_soulb&t=0_0,电商主播（直播）,东莞市宝玺服装有限公司,7千-1.4万,东莞-南城区,1年经验,中技/中专,民营,服装/纺织/皮革
https://jobs.51job.com/nanjing/136652400.html?s=sou_sou_soulb&t=0_0,抖音主播（白班）,南京大公汽车智能科技有限公司,6-8千,南京,2年经验,大专,民营,汽车
https://jobs.51job.com/guangzhou-hdq/144313523.html?s=sou_sou_soulb&t=0_0,抖音主播,广州市银三环机械有限公司,6千-1.2万,广州-花都区,无需经验,大专,民营,机械/设备/重工
https://jobs.51job.com/jingzhou-ssq/137701013.html?s=sou_sou_soulb&t=0_0,带货/电商主播,湖北优的贸易有限公司,5千-1万,荆州-沙市区,2年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/kunming-whq/144373141.html?s=sou_sou_soulb&t=0_0,电商主播,云南品斛堂生物科技有限公司,5-7千,昆明-五华区,1年经验,高中,民营,农/林/牧/渔
https://jobs.51job.com/shenzhen-ftq/141754024.html?s=sou_sou_soulb&t=0_0,抖音主播,巨能（深圳）健康产业有限公司,6千-1万,深圳-福田区,无需经验,无学历要求,外资（欧美）,互联网/电子商务
https://jobs.51job.com/foshan-ccq/144075342.html?s=sou_sou_soulb&t=0_0,抖音主播,广东嘉益生物科技有限公司,5千-1万,佛山-禅城区,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/jiamusi/144134395.html?s=sou_sou_soulb&t=0_0,游戏主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/144359105.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
